Rank	City	State	Equity Score (0-100)	Plan Status	Plan Year	Has Equity Plan	Measurable Goals	Has Timelines	Has Budget Commitment	Has Enforcement	Equity Office Exists	Annual Reporting	Agency Count	Official Poverty Rate (%)	Black Poverty Rate (%)	Latinx Poverty Rate (%)	White Poverty Rate (%)	Median Household Income ($)	Black Median Income ($)	Latinx Median Income ($)	White Median Income ($)	True COL Gap (% below)	Median Rent ($/mo)	Black Rent Burden (%)	Latinx Rent Burden (%)	White Rent Burden (%)	Black Homeownership (%)	White Homeownership (%)	Rent Burden Gap (pp Black-White)	Black Wage Gap (cents per White $)	Latinx Wage Gap (cents per White $)	Black Unemployment Rate (%)	White Unemployment Rate (%)	Unemployment Gap (ratio)	Black Avg Commute (min)	White Avg Commute (min)	Commute Gap (min/week)	Accountability Gaps	Sources
1	New York City	NY	73	Comprehensive	2026	true	true	true	false	false	true	true	45	18.3	23.0	27.0	10.5	76912	53000	46000	95000	62.0	1900	58.0	60.0	42.0	26	41	16.0	63	60	7.8	3.9	2.0	44	37	14	No explicit budget allocations for most goals | No external enforcement or penalty mechanisms | Preliminary plan pending public feedback; final plan not yet released | TCOL data uses 2022 ACS baseline — already outdated at publication	NYC Preliminary Racial Equity Plan (April 2026) | NYC True Cost of Living Measure (April 2026) | 2023 ACS / US Census Bureau | McKinsey Institute for Black Economic Mobility
2	Los Angeles	CA	42	Partial	2022	true	true	true	false	false	false	false	12	19.7	22.5	24.0	11.5	69778	45000	52000	88000	58.0	2150	59.0	61.0	44.0	28	52	15.0	61	58	9.2	4.5	2.04	46	35	22	ORJETP office defunded in FY2025-26 budget cuts | No city-level True Cost of Living equivalent | Equity office eliminated amid $2B+ budget deficit | County plan has goals without dedicated city agency enforcement	LA City Planning ORJETP (2020–2025) | LA County Racial Equity Strategic Plan (2022) | 2023 ACS / US Census Bureau
3	Chicago	IL	81	Comprehensive	2024	true	true	true	true	true	true	true	30	17.8	28.0	19.5	9.5	64124	36000	51000	92000	61.0	1450	60.0	57.0	40.0	34	65	20.0	55	62	13.8	4.3	3.21	42	31	22	REAP compliance is self-reported; external audits limited | Largest Black-White unemployment gap (3.2x) among top 5 cities | Budget process integration exists but equity rubric scoring incomplete	Chicago Municipal Code 2-4-100 | CPD Racial Equity Action Plan (2024) | 2023 ACS / US Census Bureau | Chicago $17.1B FY2025 Budget
4	Houston	TX	12	None		false	false	false	false	false	false	false		18.9	22.4	22.8	11.0	58048	40000	47000	81000	54.0	1250	55.0	56.0	38.0	31	60	17.0	60	65	7.5	3.8	1.97	38	30	16	No racial equity plan — city is 4th largest in U.S. | No dedicated equity office or dedicated equity staff | Housing con plan uses income-based targeting only, ignores race | No public reporting on racial disparities in city services	Houston HCD Consolidated Plan 2025-2029 | Greater Houston Partnership Equity Commitment | 2023 ACS / US Census Bureau
5	Phoenix	AZ	14	None		false	false	false	false	false	false	false		18.4	26.5	22.0	12.5	62055	38000	50000	74000	51.0	1350	57.0	55.0	42.0	29	57	15.0	62	67	9.0	4.2	2.14	36	27	18	No racial equity plan — fastest-growing major U.S. city | Consolidated plan uses race-neutral LMI framing despite large disparities | No equity office, no racial data disaggregation in city reporting | Fair Housing AI does not commit to enforcement timelines	Phoenix 2025-2029 Consolidated Plan | 2023 ACS / US Census Bureau
6	Philadelphia	PA	84	Comprehensive	2020	true	true	true	true	true	true	true	28	23.3	28.0	30.0	16.0	54479	36000	38000	74000	63.0	1400	61.0	63.0	44.0	42	68	17.0	58	56	11.2	4.8	2.33	38	29	18	External scoring by Equity & Results ended after FY2024 | Citywide performance measures still in development | Highest official poverty rate (23%) among top 10 cities | Equity plans exist but city faces persistent structural underinvestment	Philadelphia Budgeting for Racial Equity FY2024 | Executive Order 1-20 | FY25 Budget Testimony (March 2024) | 2023 ACS / US Census Bureau
7	San Antonio	TX	8	None		false	false	false	false	false	false	false		20.4	24.0	22.0	12.5	56368	40000	48000	70000	52.0	1150	55.0	54.0	38.0	34	62	17.0	65	68	7.2	3.5	2.06	35	26	18	No racial equity plan in the 7th-largest U.S. city | DEI programs suspended pending federal compliance review | No equity office, no disaggregated outcomes reporting	City of San Antonio press statements (2025) | 2023 ACS / US Census Bureau
8	San Diego	CA	36	Partial	2020	true	true	false	false	false	false	false	18	14.0	20.5	19.5	9.5	89000	52000	60000	108000	48.0	2350	58.0	56.0	40.0	26	55	18.0	61	66	8.0	3.5	2.29	37	27	20	Equity office being eliminated in FY2026 budget | Community Equity Fund reduced from $3M to ~$90K | Compensation analysis reports cut in budget consolidation | No director since August 2024; position eliminated in proposed budget	San Diego Dept. of Race & Equity 4-Year Plan (2024) | inewsource.org budget reporting (May 2025) | 2023 ACS / US Census Bureau
9	Dallas	TX	10	Suspended	2022	true	false	false	false	false	false	false	0	19.8	25.5	23.0	10.5	58360	40000	50000	84000	53.0	1350	57.0	56.0	38.0	29	59	19.0	61	65	8.5	3.8	2.24	40	29	22	Racial Equity Plan formally suspended by City Manager in 2025 | All race/gender-based resource allocation programs halted | Compliance with federal DEI executive orders overrides local equity commitments | Office of Equity and Inclusion future uncertain	Dallas Racial Equity Plan 2022-2023 | Dallas City Council Legislation 25-2552A | Dallas Weekly (August 2025) | 2023 ACS / US Census Bureau
10	San José	CA	44	Partial	2021	true	true	false	false	false	true	false	10	10.8	18.5	14.0	6.5	117000	62000	72000	148000	45.0	2800	61.0	58.0	38.0	22	60	23.0	58	63	6.5	2.8	2.32	42	30	24	High rents create extreme cost burden despite higher nominal incomes | Black-White rent burden gap (23 pct pts) highest in study | Tech economy growth widens racial wealth gap, not addressed in plan | Equity goals lack specific budget allocations	San José Racial Equity Framework (2021) | 2023 ACS / US Census Bureau | McKinsey Black Residents Place Study
11	Austin	TX	38	Partial	2021	true	true	false	false	false	true	false	8	13.8	22.0	18.5	8.5	78000	48000	55000	95000	46.0	1750	58.0	57.0	38.0	24	58	20.0	63	66	7.0	3.0	2.33	38	28	20	Equity plans have not stopped rapid Black displacement from core neighborhoods | Anti-displacement policy adopted but no enforcement teeth | Plans lack budget commitments; goals aspirational not binding | Federal compliance pressures may further weaken equity programs (Texas cities)	Austin Office of Equity reports | 2023 ACS / US Census Bureau | UT Austin Displacement Study
12	Jacksonville	FL	6	None		false	false	false	false	false	false	false		16.2	24.5	21.5	11.5	57000	38000	48000	68000	49.0	1200	56.0	54.0	40.0	36	64	16.0	63	68	8.5	4.2	2.02	36	27	18	No racial equity plan — among the least accountable large cities | No equity office, no race-disaggregated public services data | Consolidation model has weakened Black political representation	2023 ACS / US Census Bureau
13	Fort Worth	TX	5	Suspended		false	false	false	false	false	false	false		17.5	24.0	22.5	9.5	62000	42000	50000	79000	50.0	1250	56.0	55.0	37.0	30	58	19.0	64	67	7.8	3.6	2.17	37	28	18	DEI programs formally ended to preserve federal funding (2025) | No racial equity plan — city lacks any equity accountability mechanism | State environment (Texas) hostile to race-conscious programs	Dallas Weekly DEI Changes Report (August 2025) | 2023 ACS / US Census Bureau
